"Financial Year","Return Type","Name","Received From","Date","Value"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","04/11/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","18/11/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","19/11/2020","12500"
"2020-21","Political Campaigner Return","Australian Education Union ","AUSTRALIAN TAXATION OFFICE – COVID CASH BOOST","12/05/2021","99996"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","31/07/2020","12500"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","12/10/2020","12832"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","11/09/2020","12500"
"2020-21","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","26/10/2020","12500"
"2020-21","Political Party Return","Australian Greens","Dept Finance","20/10/2020","220000"
"2020-21","Political Party Return","Australian Greens","Dept Finance","02/02/2021","94600"
"2020-21","Political Party Return","Australian Greens","Dept Finance","14/06/2021","15718"
"2020-21","Political Party Return","Australian Greens","WA Office of State Revenue","27/08/2020","17500"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance","","295000"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance","","140000"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance","","1100000"
"2020-21","Political Party Return","Australian Labor Party (ALP)","Department of Finance Ministerial and Parlimentary Services","","31948"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","15/04/2021","29150"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","21/05/2021","10450"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","07/06/2021","15400"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","02/03/2021","25740"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","19/03/2021","10980"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","06/05/2021","23400"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","01/06/2021","31320"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE , and Aged Care Training Initiatives","01/06/2021","55000"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE , and Aged Care Training Initiatives","05/01/2021","198000"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE , and Aged Care Training Initiatives","16/11/2020","250"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","28/09/2020","13672"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","14/10/2020","1091"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/06/2021","679"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","05/05/2021","486"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","16/04/2021","1508"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/03/2021","1580"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/02/2021","1186"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","15/01/2021","1594"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/12/2020","836"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/11/2020","1422"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/10/2020","915"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/09/2020","836"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","17/08/2020","1358"
"2020-21","Political Campaigner Return","Business Council of Australia","Department of Foreign Affairs and Trade","05/08/2020","150000"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","22/12/2020","36957"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","23/12/2020","60876"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","29/01/2021","60876"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","21/04/2021","25911"
"2020-21","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","01/07/2020","12500"
"2020-21","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","30/08/2020","12500"
"2020-21","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","20/01/2021","25000"
"2020-21","Associated Entity Return","Health & Community Services Union Vic No. 2 HSU","DEPT HEALTH","29/06/2021","55000"
"2020-21","Political Party Return","Liberal Party of Australia","Department of Finance","24/02/2021","97860"
"2020-21","Political Party Return","Liberal Party of Australia","Department of Finance","02/11/2020","1100000"
"2020-21","Political Party Return","Liberal Party of Australia","Department of Finance","06/07/2020","155208"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","29/07/2020","255"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","20/10/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","17/02/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","02/03/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Jobs, Precincts and Regions","29/06/2021","24200"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","10/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","28/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","06/08/2020","170"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","20/10/2020","170"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","29/10/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","12/02/2021","90"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","03/03/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Office of Northern Australia","09/03/2021","90"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Austrade","17/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Austrade","29/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Austrade","25/05/2021","80"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","20/10/2020","1600"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","27/10/2020","640"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","30/11/2020","8800"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","25/02/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","09/03/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","12/04/2021","850"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of The Chief Minister & Cabinet","23/02/2021","90"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Treasury and Finance","10/08/2020","425"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","31/07/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","31/08/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","30/09/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Australian Taxation Office","31/10/2020","12500"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","17/12/2020","4523"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","30/12/2020","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","15/01/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","29/01/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","13/02/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","26/02/2021","1507"
"2020-21","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Central Link (PPL Fund - Staff Maternity Leave Payment)","12/03/2021","1507"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Department Jobs, Precincts and Regions","03/08/2020","5000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Department Jobs, Precincts and Regions","11/08/2020","5000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Department of Jobs Precincts and Regions","12/10/2020","10000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","08/07/2020","6000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","06/08/2020","6000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","09/09/2020","9000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeoer","06/10/2020","6000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","11/11/2020","2400"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","06/12/2020","2400"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","12/01/2021","3600"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","07/02/2021","2000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","05/03/2021","2000"
"2020-21","Associated Entity Return","Progressive Business Association Inc","Jobkeeper","08/04/2021","2000"
"2020-21","Associated Entity Return","The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia","Australian Taxation Office","04/08/2020","2229"
"2020-21","Associated Entity Return","The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia","Australian Taxation Office","02/10/2020","5271"
"2020-21","Associated Entity Return","The Chifley Research Centre Ltd","Department of Finance","","267036"
"2020-21","Associated Entity Return","The Green Institute Limited","Department of Finance","05/03/2021","100163"
"2020-21","Associated Entity Return","The Menzies Research Centre Limited","Department of Finance","01/04/2021","267854"
"2020-21","Associated Entity Return","The Page Research Centre Ltd","Department of Finance","23/03/2021","129425"
"2020-21","Political Campaigner Return","Universities Australia","Dept Education Skills and employment","09/07/2020","660000"
"2020-21","Political Campaigner Return","Universities Australia","Dept Education Skills and employment","24/06/2021","660000"
"2020-21","Political Campaigner Return","Universities Australia","Dept of Social Services","03/06/2021","1117195"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Australian Taxation Office","11/05/2020","50000"
"2019-20","Political Party Return","Animal Justice Party","Australian Taxation Office","","21224"
"2019-20","Political Campaigner Return","Australian Automobile Association","Department of Infrastructure & Regional Development","28/08/2019","2200000"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","The Treasury","30/06/2020","49486"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","Fair Work Ombudsman and registered Organisations Commission Entity","30/06/2020","825000"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","ATO","30/06/2020","50000"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","Victorian WorkCover Authority T/A WorkSafe Victoria","11/03/2020","47190"
"2019-20","Political Campaigner Return","Australian Education Union ","SRO Victoria Payroll Tax","24/04/2020","89994"
"2019-20","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","14/05/2020","32814"
"2019-20","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","18/05/2020","7292"
"2019-20","Associated Entity Return","Australian Federated Union of Locomotive Employees","ATO Cash Flow Boost","10/06/2020","9562"
"2019-20","Political Party Return","Australian Greens","Dept Finance","24/07/2019","220000"
"2019-20","Political Party Return","Australian Greens","Dept Finance","25/06/2020","52353"
"2019-20","Political Party Return","Australian Labor Party (ALP)","Dept of Finance","02/09/2019","1100000"
"2019-20","Political Party Return","Australian Labor Party (ALP)","Dept of Finance","03/01/2020","63605"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/07/2019","1762"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","26/07/2019","266"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/08/2019","2470"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/09/2019","3403"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","08/11/2019","11000"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/11/2019","2508"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/12/2019","2767"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","14/01/2020","5174"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","14/02/2020","1416"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/03/2020","844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","03/04/2020","1602"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","05/05/2020","958"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Education & Training","12/06/2020","372"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","14/02/2020","10145"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","03/04/2020","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","13/11/2019","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","11/09/2019","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","12/06/2020","10494"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","05/05/2020","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","13/03/2020","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","14/01/2020","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","08/11/2019","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","13/08/2019","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","26/07/2019","10844"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of Health and Human Services for AOD, ICE, and Aged Care Training Initiatives","11/12/2019","230344"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Government Department of Health","29/08/2019","21267"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Government Department of Health","19/09/2019","21266"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Australian Government Department of Health","17/03/2020","21266"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","31/07/2019","60587"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","06/08/2019","46959"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","04/09/2019","23043"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","04/10/2019","51552"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","26/05/2020","1092"
"2019-20","Political Campaigner Return","Australian Nursing & Midwifery Federation","Department of State Growth (Skills Tasmania)","30/06/2020","10431"
"2019-20","Political Campaigner Return","Business Council of Australia","Dept of Prime Minister & Cabinet (ANZLF Indigenous Business Sector)","15/05/2020","55000"
"2019-20","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","03/04/2020","19576"
"2019-20","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","07/06/2020","30424"
"2019-20","Associated Entity Return","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","ATO","23/04/2020","50000"
"2019-20","Associated Entity Return","CEPU Plumbing Division Victoria","ATO","","194000"
"2019-20","Associated Entity Return","Health Services Union of Victoria No.1 Branch","Australian Tax office-Job Keeper","19/05/2020","96000"
"2019-20","Associated Entity Return","Health Services Union of Victoria No.1 Branch","Australian Taxation Office- Job Keeper","04/06/2020","96000"
"2019-20","Associated Entity Return","Laneway Assets Pty Ltd","Australian Taxation Office","17/06/2020","15000"
"2019-20","Associated Entity Return","Laneway Assets Pty Ltd","Australian Taxation Office","21/05/2020","15000"
"2019-20","Political Party Return","Liberal Party of Australia","Department of Finance","24/01/2020","75577"
"2019-20","Political Party Return","Liberal Party of Australia","Department of Finance","25/07/2019","1100000"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Chief Minister - NT","07/10/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Chief Minister - NT","15/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Chief Minister - NT","05/02/2020","170"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","26/09/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","03/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","07/10/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","08/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","14/10/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","31/01/2020","85"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","14/02/2020","170"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Trade, Business and Innovation NT","17/02/2020","170"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry and Resources NT","31/07/2019","750"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry and Resources NT","16/12/2019","9680"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Primary Industry and Resources NT","13/02/2020","425"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Economic Development, Jobs, Transport & Resources","02/12/2019","150"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Science, Energy And Resources","12/03/2020","1020"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of Education, Skills and Employment","26/06/2020","3581079"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Department of the Legislative Of Assembly - NT","04/02/2020","85"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","31/07/2019","160"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Office of The Leader Of The Opposition NT","04/10/2019","80"
"2019-20","Political Campaigner Return","Minerals Council of Australia","Office of The Leader Of The Opposition NT","29/01/2020","85"
"2019-20","Political Campaigner Return","New South Wales Nurses and Midwives' Association","NSW Ministry of Health","","98233"
"2019-20","Political Campaigner Return","New South Wales Nurses and Midwives' Association","Centrelink","","13330"
"2019-20","Associated Entity Return","Progressive Business Association Inc","Victorian Department of Jobs, Precincts and Regions ","09/06/2020","10000"
"2019-20","Associated Entity Return","Progressive Business Association Inc","Australian Tax Office Jobkeeper","07/05/2020","6000"
"2019-20","Associated Entity Return","Progressive Business Association Inc","Australian Tax Office Jobkeeper","04/06/2020","6000"
"2019-20","Associated Entity Return","The Chifley Research Centre Ltd","Dept of Finance","25/03/2020","267036"
"2019-20","Associated Entity Return","The Green Institute Limited","Department of Finance","25/03/2020","99858"
"2019-20","Associated Entity Return","The Menzies Research Centre Limited","Department of Finance","26/03/2020","267036"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","06/09/2019","100833"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","09/12/2019","45833"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Department of Social Services","16/01/2020","45833"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Commonwealth Government - Department of Health","29/06/2020","186977856"
"2019-20","Political Campaigner Return","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","Commonwealth Government - Department of Health","29/06/2020","25268856"
